review,sentiment
"Uno de los comentadores dijo que con tan solo ver 1 capitulo del OZ te quedas fascinado. Tenian razón, es verdad.",positive
"El es un gran maestro en la comedia, el realismo en sus chistes está en los detalles más pequeños ",positive
"Pasar el verano con la familia es algo muy bueno, siempre se crean recuerdos con aquellos que más amamos, y lo mejor de todo es que cada uno de nosotros nos guardamos esos buenos recuerdos. Entre semana con el calor del verano y las piscinas no hay nada mejor que una cerveza fria",positive
"Había un zombie en el armario y la pobre Jake hace un papel horrible en la pelicula, su reacción fue de confusión no de miedo. No recomiendo la pelicula a nadie.",negative
"La pelicula de Buscando a Nemo es hermosa, creo que todos en algún momento de sus vidas deberián ver esta obra de arte.",positive
"Mi pelicula favorita de todos los tiempos es La luz de la luna, es una pelicula sobre pasión y romance fuerte entre Jack y Michelle en Italia, una gran pelicula de amor.",positive
"Me gusta despertar cada día y siempre tomar un café, su sabor cada mañana me da la energia que necesito para hacer bien mi trabajo. Adoro el café.",positive
"El principe de Bel Air es una serie increible de Will Smith, sobre todo porque le enseñó a muchos jovenes que debian tomar la responsabilidad de sus acciones y ser adultos comprometidos y responsables.",positive
"No vean la pelicula del Guason 2, es perder el tiempo y el dinero llendo a cine a ver un musical, horrible no vean esta pelicula no la recomiendo",negative
"A mi madre le gusta hornear pasteles, le quedan increibles en especial las tortas y los pastelitos",positive
"Trabajo en una bodega, me gusta mucho porque debo correr bastante entre locales para llevar pares de zapatos que pidan los clientes, es un trabajo temporal pero me da dinero y me matiene en buena forma fisica.",neutral
"La pelicula de la Monja ha sido una de las mas escalofriantes y miedosas que he visto, es aterradora lo bien que esta producida esta pelicula",negative
"No me gusta mucho los postres porque soy alergico, tengo problemas de lactosa y siempre termino en situaciones que no me gusta recordar",negative
"La lectura de libros es fascinante, siempre eres transportado a un mundo nuevo, aventuras más alla de la ficción que te motivan y sorprenden con sus enganchantes y asombrosas tramas, pero no me gusta leer",neutral
"Hay un bar por mi casa, hacen mucho ruido y no estamos en una zona comercial, los demandare porque no me dejan dormir",negative
"Vendo mis pinturas no por dinero, sino por el brillo en los ojos de las personas que observan con deleite mi trabajo",negative
Hay algunas obras de arte cinematografico que no deberian ser creadas nuevamente,positive
"Ver la pelicula de minecraft es perder el tiempo, no es nada fiel a la obra original",negative
"Lo que más disfruto de salir con mis amigos es comer pizza, me encanta la sensación de comer en compañía de las personas con las que más tiempo paso el día a día",positive
Horrible la situación del pais con los paros y el alto precio de la gasolina,negative
Cómo es que pueden cobrar el peaje a las motos? Esto es el colmo,positive
"Tuve pesadillas cayendo de un octavo piso, y ahora tengo miedo a las alturas",negative
"No me gustan las piscinas, todas las personan entran en el agua y se convierte en una mezcla de sudor y mal higiene, orinan y escupen en el agua. No hay lugar más sucio en las albercas.",neutral
"Ahora puedo hablar ingles, déspues de tanto tiempo estudiando y me gane una beca a inglaterra pero no entiendo nada",negative
"Colombia es un pais potencia en fuentes hidroelectricas para la producción de energia, es una excelente fuente de ingresos",negative
"Estoy muy contento el día de hoy porque es mi cumpleaños, pero no invite a nadie",neutral
Habia una vez un pollito que se cayó al agua y saltó lo más alto que he visto a un pollito hacerlo en mi vida,neutral
"Hacer ejercicio me aburré, pero me mantiene en forma y debo seguir con mi disciplina",neutral
"No ha pasado nada interesante el día de hoy, así ha sido los ultimos 3 días",neutral
